2026-05-15T10:31:24 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385643/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:24 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385643    0.1s
2026-05-15T10:31:24 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385643: no parts lines — skipping LLM.
2026-05-15T10:31:24 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385643    0.1s
2026-05-15T10:31:24 | INFO     | vo-backend | vi_pipeline.folder.EST3000385642/ | START folder=EST3000385642 (VIN=1HTMMAAL8CH539639, License Plate=34B3HF, Odometer=9869.0)
2026-05-15T10:31:24 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385642/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:24 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385642    0.1s
2026-05-15T10:31:24 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385642: no parts lines — skipping LLM.
2026-05-15T10:31:24 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385642    0.1s
2026-05-15T10:31:25 | INFO     | vo-backend | vi_pipeline.folder.EST3000385641/ | START folder=EST3000385641 (VIN=1HTMMAAL8CH539639, License Plate=34B3HF, Odometer=9869.0)
2026-05-15T10:31:25 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385641/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:25 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385641    0.1s
2026-05-15T10:31:25 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385641: no parts lines — skipping LLM.
2026-05-15T10:31:25 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385641    0.1s
2026-05-15T10:31:25 | INFO     | vo-backend | vi_pipeline.folder.EST3000385611/ | START folder=EST3000385611 (VIN=3KPA24AD6NE445459, License Plate=N/A, Odometer=9869.0)
2026-05-15T10:31:25 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385611/ | vin_status=False | plate_status=None | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:25 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385611    0.1s
2026-05-15T10:31:25 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385611: no parts lines — skipping LLM.
2026-05-15T10:31:25 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385611    0.1s
2026-05-15T10:31:25 | INFO     | vo-backend | vi_pipeline.folder.EST3000385610/ | START folder=EST3000385610 (VIN=7N55K5, License Plate=TEMP, Odometer=9869.0)
2026-05-15T10:31:25 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385610/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:25 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385610    0.2s
2026-05-15T10:31:25 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385610: no parts lines — skipping LLM.
2026-05-15T10:31:25 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385610    0.1s
2026-05-15T10:31:25 | ERROR    | vo-backend | vi_pipeline | est_id=3000385850 has an empty blob prefix — nothing to process.
2026-05-15T10:31:25 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385850    0.0s
2026-05-15T10:31:25 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385850: no parts lines — skipping LLM.
2026-05-15T10:31:25 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385850    0.0s
2026-05-15T10:31:25 | INFO     | vo-backend | vi_pipeline.folder.EST3000385438/ | START folder=EST3000385438 (VIN=KMHDH4AE0GU474850, License Plate=34B3HF, Odometer=9869.0)
2026-05-15T10:31:25 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385438/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:25 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385438    0.1s
2026-05-15T10:31:25 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385438: no parts lines — skipping LLM.
2026-05-15T10:31:25 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385438    0.1s
2026-05-15T10:31:26 | INFO     | vo-backend | vi_pipeline.folder.EST3000385435/ | START folder=EST3000385435 (VIN=1HTMMAAL8CH539639, License Plate=34B3HF, Odometer=9869.0)
2026-05-15T10:31:26 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385435/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:26 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385435    0.1s
2026-05-15T10:31:26 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385435: no parts lines — skipping LLM.
2026-05-15T10:31:26 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385435    0.1s
2026-05-15T10:31:26 | INFO     | vo-backend | vi_pipeline.folder.EST3000385433/ | START folder=EST3000385433 (VIN=KNDEUCAA4T7289348, License Plate=TEMP, Odometer=9869.0)
2026-05-15T10:31:26 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385433/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:26 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385433    0.1s
2026-05-15T10:31:26 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385433: no parts lines — skipping LLM.
2026-05-15T10:31:26 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385433    0.0s
2026-05-15T10:31:26 | INFO     | vo-backend | vi_pipeline.folder.EST3000385432/ | START folder=EST3000385432 (VIN=KNDEUCAA8T7144751, License Plate=TEMP, Odometer=9869.0)
2026-05-15T10:31:26 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385432/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:26 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385432    0.1s
2026-05-15T10:31:26 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385432: no parts lines — skipping LLM.
2026-05-15T10:31:26 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385432    0.0s
2026-05-15T10:31:26 | INFO     | vo-backend | vi_pipeline.folder.EST3000385356/ | START folder=EST3000385356 (VIN=1HTMMAAL8CH539639, License Plate=34B3HF, Odometer=9869.0)
2026-05-15T10:31:26 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385356/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:26 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385356    0.1s
2026-05-15T10:31:26 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385356: no parts lines — skipping LLM.
2026-05-15T10:31:26 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385356    0.1s
2026-05-15T10:31:26 | INFO     | vo-backend | vi_pipeline.folder.EST3000385354/ | START folder=EST3000385354 (VIN=1HTMMAAL8CH539639, License Plate=34B3HF, Odometer=9869.0)
2026-05-15T10:31:26 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385354/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:26 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385354    0.1s
2026-05-15T10:31:26 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385354: no parts lines — skipping LLM.
2026-05-15T10:31:26 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385354    0.1s
2026-05-15T10:31:27 | INFO     | vo-backend | vi_pipeline.folder.EST3000385353/ | START folder=EST3000385353 (VIN=1HTMMAAL8CH539639, License Plate=34B3HF, Odometer=9869.0)
2026-05-15T10:31:27 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385353/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:27 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385353    0.2s
2026-05-15T10:31:27 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385353: no parts lines — skipping LLM.
2026-05-15T10:31:27 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385353    0.1s
2026-05-15T10:31:27 | INFO     | vo-backend | vi_pipeline.folder.EST3000385325/ | START folder=EST3000385325 (VIN=KNDEUCAA8T7529825, License Plate=TEMP, Odometer=9869.0)
2026-05-15T10:31:27 | INFO     | vo-backend | vi_pipeline | Finished: prefix=EST3000385325/ | vin_status=False | plate_status=False | odometer_status=False | ocr_images=0 | vlm_images=0 | wall_sec=0.000s | db_write=ok
2026-05-15T10:31:27 | INFO     | vo-backend | pipeline_orchestrator | VI  ✓ est_id=3000385325    0.1s
2026-05-15T10:31:27 | INFO     | vo-backend | estimate_matching.em_pipeline | est_id 3000385325: no parts lines — skipping LLM.
2026-05-15T10:31:27 | INFO     | vo-backend | pipeline_orchestrator | EM  ✓ est_id=3000385325    0.0s
2026-05-15T10:31:27 | ERROR    | vo-backend | vi_pipeline | est_id=3000385575 has an empty blob prefix — nothing to process.
